"lat","lon","r2","SW","BP","b1","sig","del","p","log.p","log.p.adj","log.p.ajd"
60.1508737284021,19.5423795977324,0.808848837854768,0.195411987037044,0.00511268145094442,9.53766113212269,127.168439959395,-162.972913317827,8.07581686728835e-35,-34.0928135379736,0,-32.6428557384488
60.1490761809651,19.8479358305742,0.805304369128307,0.237149113312251,0.0046960322685757,9.64240261493574,130.036719122123,-166.648760969241,1.88434916099472e-34,-33.7248386213714,0,-32.4791361810037
60.0369789020482,20.1634659477729,0.801102416025647,0.290934620413957,0.00352854317081398,9.71238755435624,132.733150853941,-170.104377276536,5.04474899121675e-34,-33.2971604378397,0,-32.303002630056
70.0328370467096,27.6747351637923,0.839526487569421,0.101817751457935,0.00606406907774524,9.79761241540411,117.486346857809,-150.564811745741,2.53819227392556e-38,-37.5954754821854,0,-35.277222374669
70.0123434174484,27.8868067368474,0.838866567516636,0.0974671668552013,0.00508912380596552,9.66637960885182,116.196460629191,-148.911756030081,3.06673883148973e-38,-37.5133232076733,0,-35.2482415782351
69.9449312517749,27.4905376021105,0.841719004679989,0.105621679355475,0.00597559209898416,9.56094577696872,113.714106170953,-145.73049078789,1.34629860462904e-38,-37.8708586043319,0,-35.4240106268982
69.9249567262257,27.7033916341334,0.841390955031571,0.0952402874855609,0.00581277437732864,9.43832671201472,112.3938968703,-144.038574491792,1.48110582465669e-38,-37.8294139101334,0,-35.4240106268982
69.9045546038561,27.9160725425607,0.785558989869149,0.0842638408861543,0.25245614494231,7.89512743479475,113.137435939762,-144.991458150304,1.62250133660257e-32,-31.7898149367594,0,-31.2295096935384
69.8837262045331,28.1285768269234,0.782268336689957,0.144354254970292,0.262911628881596,7.7031362416796,111.463625581155,-142.846383864806,3.27570293066671e-32,-31.4846954907401,0,-30.9948679060449
69.9121984369469,26.6632135453934,0.796889810374528,0.170976005043943,0.185742790631359,7.69642253264878,106.570815332149,-136.57599523028,1.32634262682045e-33,-32.8773442725252,0,-32.0228484581706
69.8940289489897,26.8773459557896,0.842286129941733,0.13798075000691,0.00640366835314033,8.87435917199032,105.323380219195,-134.977342808359,1.1410118208413e-38,-37.9427098562833,0,-35.4240106268982
69.8754285851972,27.0913178810414,0.841919671481152,0.137920137615538,0.00654144775526451,8.93595251383618,106.200633089132,-136.101587597205,1.26983578230042e-38,-37.8962524392426,0,-35.4240106268982
69.856398556293,27.3051257046809,0.84210019050792,0.12091270593642,0.00659397828216303,9.00908008255398,106.997106831486,-137.122309768634,1.20469159035514e-38,-37.9191241213467,0,-35.4240106268982
69.8369400963634,27.5187658306075,0.842221226445723,0.0986026119443972,0.0066008052064763,9.06383873962918,107.598454594248,-137.892967935438,1.1628563378688e-38,-37.9344739357657,0,-35.4240106268982
69.8170544624844,27.7322346834769,0.781715638607872,0.13014800761201,0.327033615897928,7.77817262114596,112.731985305234,-144.471852254874,3.6821489506827e-32,-31.4338986473499,0,-30.9590482186243
69.7967429343456,27.9455287090842,0.772504810956522,0.111585585590711,0.412454967952685,7.47889729545244,111.315527413607,-142.656588426331,2.47906007163722e-31,-30.6057129494466,0,-30.2701421440795
69.776006813869,28.1586443747424,0.777523317900475,0.085121230791704,0.438455913796915,7.41475836590159,108.784046147427,-139.412364646511,8.85694507812686e-32,-31.0527160483718,0,-30.6568580830428
69.754847424824,28.3715781696517,0.771648723882421,0.106854804639298,0.338571118870375,7.26958576132466,108.463654148632,-139.001765778868,2.94820508771808e-31,-30.5304423086806,0,-30.2034152768568
69.7332661124391,28.5843266052637,0.78006614520423,0.0998946465459942,0.348446262803946,7.55169584471137,109.978422237454,-140.943019194534,5.21126366194033e-32,-31.2830569533101,0,-30.8420010071457
69.71126424301,28.7968862156408,0.783519886957762,0.257753985113549,0.306869845495488,7.65276391842172,110.327804002137,-141.390769942037,2.51074033331011e-32,-31.6001982007247,0,-31.0784659339848
69.6888432035042,29.0092535578059,0.838710502429966,0.112052198930378,0.00326211613044332,9.33759905987244,112.309086044778,-143.929885045568,3.20668264545013e-38,-37.4939440186028,0,-35.2482415782351
69.8215098878468,26.474219228786,0.786447046066361,0.0743221607351976,0.118478202724841,6.98108801295342,99.7754807767717,-127.867423592437,1.33980704072856e-32,-31.8729577443076,0,-31.2878289173616
69.8038517724372,26.6891352824295,0.791938038225336,0.0834232006901591,0.207013222911687,7.37981176344921,103.747751773342,-132.958093706859,4.02882543066184e-33,-32.3948215502197,0,-31.683535768526
69.7857633668743,26.9038929292031,0.782283633008437,0.0847395777308462,0.198575534520394,7.07086049709721,102.310063303242,-131.115621797236,3.26510268294452e-32,-31.4861031562159,0,-30.9952732411292
69.7672458418216,27.1184884983809,0.774070543051589,0.103692378003131,0.262088793960189,7.00992994081597,103.87056724425,-133.115488065874,1.80255617183993e-31,-30.7441111927722,0,-30.3930655718596
69.7483003913995,27.3329183395326,0.774975195423247,0.111199855474002,0.336963991093694,7.09843673605661,104.909949644496,-134.44751020811,1.49792007244872e-31,-30.8245113595475,0,-30.4600618584701
69.728928232826,27.5471788229246,0.772310505670005,0.0852734456007773,0.326426424856333,7.12721164949058,106.13969805739,-136.02349621188,2.57867065168493e-31,-30.5886041224955,0,-30.2550828465664
69.7091306060529,27.7612663399154,0.768950930444094,0.0511776734130946,0.388301396979425,7.38229580406691,110.988225718783,-142.237134426924,5.06913007695027e-31,-30.295066564374,0,-29.9934670020947
69.6889087733972,27.9751773033448,0.764266416534941,0.173820571987632,0.445959163309462,7.05945344136655,107.533080269786,-137.809187367578,1.28002034741604e-30,-29.89278312668,0,-29.6271093511954
